"filename", "language", "Dart", "Markdown", "YAML", "C++", "JSON", "Swift", "XML", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"e:\jobs\okoagirl\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\jobs\okoagirl\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 3, 12, 69
"e:\jobs\okoagirl\android\app\google-services.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 39
"e:\jobs\okoagirl\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\jobs\okoagirl\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 16, 0, 47
"e:\jobs\okoagirl\android\app\src\main\kotlin\com\example\okoagirl\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"e:\jobs\okoagirl\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 2, 13
"e:\jobs\okoagirl\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"e:\jobs\okoagirl\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"e:\jobs\okoagirl\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"e:\jobs\okoagirl\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\jobs\okoagirl\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"e:\jobs\okoagirl\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"e:\jobs\okoagirl\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\jobs\okoagirl\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"e:\jobs\okoagirl\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"e:\jobs\okoagirl\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\jobs\okoagirl\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\jobs\okoagirl\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\jobs\okoagirl\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\jobs\okoagirl\lib\constants\constants.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 66
"e:\jobs\okoagirl\lib\constants\dividers.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\jobs\okoagirl\lib\constants\primary_button.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"e:\jobs\okoagirl\lib\main.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 37
"e:\jobs\okoagirl\lib\models\counter.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\jobs\okoagirl\lib\models\readmore.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 200
"e:\jobs\okoagirl\lib\pages\addItems.dart", "Dart", 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 43, 1071
"e:\jobs\okoagirl\lib\pages\adminpanel.dart", "Dart", 837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 854
"e:\jobs\okoagirl\lib\pages\donate.dart", "Dart", 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 534
"e:\jobs\okoagirl\lib\pages\help.dart", "Dart", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 445
"e:\jobs\okoagirl\lib\pages\homepage.dart", "Dart", 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 318
"e:\jobs\okoagirl\lib\pages\loginpage.dart", "Dart", 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 33, 774
"e:\jobs\okoagirl\lib\pages\onboarding.dart", "Dart", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 261
"e:\jobs\okoagirl\lib\pages\profile.dart", "Dart", 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 520
"e:\jobs\okoagirl\lib\pages\report.dart", "Dart", 648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 675
"e:\jobs\okoagirl\lib\pages\rootpage.dart", "Dart", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 126
"e:\jobs\okoagirl\lib\pages\sidebar.dart", "Dart", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 233
"e:\jobs\okoagirl\lib\pages\study.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"e:\jobs\okoagirl\lib\services\authentication.dart", "Dart", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 165
"e:\jobs\okoagirl\lib\services\crud.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 111
"e:\jobs\okoagirl\lib\services\donation.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\jobs\okoagirl\lib\services\profileData.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"e:\jobs\okoagirl\lib\services\reportData.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"e:\jobs\okoagirl\lib\services\selectProfilPicture.dart", "Dart", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 159
"e:\jobs\okoagirl\lib\services\user.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"e:\jobs\okoagirl\pubspec.yaml", "YAML", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 20, 14, 86
"e:\jobs\okoagirl\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 6347, 13, 52, 1, 184, 12, 118, 101, 9, 4, 259, 426, 7526
